year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201001,Iowa,41.878,-93.097,-11.37,1.12,-34.56,1.01,95.78,7.7,3.41
201002,Iowa,41.878,-93.097,-8.62,0.11,-24.02,0.78,95.52,11.98,3.01
201003,Iowa,41.878,-93.097,3.65,23.01,-10.99,1.07,83.86,14.11,3.54
201004,Iowa,41.878,-93.097,13.17,26.79,-0.46,3.72,74.26,17.71,3.77
201005,Iowa,41.878,-93.097,15.54,30.17,1.63,3.49,74.76,21.05,3.34
201006,Iowa,41.878,-93.097,22.02,30.76,11.68,8.57,81.88,22.11,2.69
201007,Iowa,41.878,-93.097,23.6,32.47,14.37,6.51,84.49,21.96,2.43
201008,Iowa,41.878,-93.097,23.47,31.7,10.87,7.72,85.54,21.31,2.43
201009,Iowa,41.878,-93.097,16.48,28.35,4.52,3.65,82.75,15.37,3.11
201010,Iowa,41.878,-93.097,10.92,26.24,-3.41,0.43,77.16,13.99,3.01
201011,Iowa,41.878,-93.097,2.33,19.16,-10.08,1.58,82.02,8.12,3.72
201012,Iowa,41.878,-93.097,-6.88,9.0,-24.56,0.9,89.86,5.48,3.61
201013,Iowa,41.878,-93.097,8.78,32.47,-34.56,3.29,83.94,15.09,3.17
201101,Iowa,41.878,-93.097,-8.9,2.87,-24.18,0.62,89.02,6.97,3.42
201102,Iowa,41.878,-93.097,-4.27,18.52,-25.1,0.87,85.68,10.36,4.11
201103,Iowa,41.878,-93.097,2.14,20.25,-10.5,1.16,79.31,12.21,3.66
201104,Iowa,41.878,-93.097,8.36,28.27,-4.29,3.14,77.76,15.06,4.34
201105,Iowa,41.878,-93.097,15.19,31.01,-2.53,4.08,76.0,20.83,3.86
201106,Iowa,41.878,-93.097,21.27,32.2,10.54,5.13,81.39,19.7,3.2
201107,Iowa,41.878,-93.097,25.26,34.04,15.39,2.43,82.96,22.27,2.13
201108,Iowa,41.878,-93.097,22.84,33.71,13.1,1.82,72.16,20.67,2.15
201109,Iowa,41.878,-93.097,16.05,35.5,2.72,1.52,67.43,16.78,2.7
201110,Iowa,41.878,-93.097,12.09,29.0,-2.08,0.77,60.24,13.12,3.15
201111,Iowa,41.878,-93.097,3.72,22.42,-5.89,2.04,73.31,8.02,3.76
201112,Iowa,41.878,-93.097,-1.45,9.2,-13.41,1.86,81.97,5.95,3.29
201113,Iowa,41.878,-93.097,9.44,35.5,-25.1,2.12,77.23,14.35,3.31
201201,Iowa,41.878,-93.097,-3.25,12.08,-16.75,0.4,77.78,7.61,4.21
201202,Iowa,41.878,-93.097,-1.31,11.32,-16.63,1.02,76.96,10.47,3.88
201203,Iowa,41.878,-93.097,10.61,25.82,-7.19,1.62,76.44,14.14,4.17
201204,Iowa,41.878,-93.097,11.55,27.79,-4.09,3.33,68.19,18.41,3.97
201205,Iowa,41.878,-93.097,18.59,31.77,6.48,2.05,67.95,23.67,3.66
201206,Iowa,41.878,-93.097,23.4,39.69,6.17,1.99,59.19,25.34,3.17
201207,Iowa,41.878,-93.097,29.09,42.39,17.79,1.31,47.52,25.18,2.36
201208,Iowa,41.878,-93.097,23.66,37.92,10.23,1.96,51.51,20.8,2.24
201209,Iowa,41.878,-93.097,17.88,35.58,1.6,1.4,53.55,17.98,2.63
201210,Iowa,41.878,-93.097,9.63,26.66,-4.94,2.52,65.43,11.0,3.11
201211,Iowa,41.878,-93.097,3.63,24.59,-9.42,0.98,74.75,8.49,3.22
201212,Iowa,41.878,-93.097,-2.33,19.48,-18.23,1.11,83.24,6.17,3.48
201213,Iowa,41.878,-93.097,11.81,42.39,-18.23,1.64,66.85,15.78,3.34
201301,Iowa,41.878,-93.097,-5.88,9.52,-19.97,0.74,78.38,7.78,4.19
201302,Iowa,41.878,-93.097,-3.84,8.18,-21.74,1.28,79.41,9.73,4.29
201303,Iowa,41.878,-93.097,-0.78,15.61,-13.17,1.72,75.86,13.99,3.77
201304,Iowa,41.878,-93.097,6.85,27.41,-6.24,5.12,74.43,17.06,3.95
201305,Iowa,41.878,-93.097,15.09,31.37,-1.05,8.51,79.72,19.03,3.68
201306,Iowa,41.878,-93.097,20.36,30.34,7.34,3.29,82.3,20.4,2.86
201307,Iowa,41.878,-93.097,21.9,31.63,8.26,1.36,79.07,23.78,2.29
201308,Iowa,41.878,-93.097,23.12,38.87,12.2,0.55,68.59,21.0,2.2
201309,Iowa,41.878,-93.097,20.24,38.13,7.24,1.4,63.16,17.41,3.0
201310,Iowa,41.878,-93.097,10.24,28.46,-3.5,1.96,68.59,11.23,3.3
201311,Iowa,41.878,-93.097,0.97,18.36,-13.29,1.45,73.68,8.31,3.78
201312,Iowa,41.878,-93.097,-7.46,7.26,-23.28,0.56,81.41,5.87,3.66
201313,Iowa,41.878,-93.097,8.46,38.87,-23.28,2.33,75.37,14.66,3.41
201401,Iowa,41.878,-93.097,-9.97,7.59,-26.86,0.21,75.66,7.19,4.97
201402,Iowa,41.878,-93.097,-9.48,9.23,-23.04,1.62,80.69,11.32,3.84
201403,Iowa,41.878,-93.097,-0.64,21.96,-24.58,0.69,70.58,15.12,4.45
201404,Iowa,41.878,-93.097,8.66,25.63,-6.77,4.97,70.63,16.25,4.42
201405,Iowa,41.878,-93.097,15.87,28.55,0.74,2.35,74.22,20.18,3.28
201406,Iowa,41.878,-93.097,21.47,29.67,8.46,9.05,79.58,20.13,2.86
201407,Iowa,41.878,-93.097,20.63,30.71,9.76,2.05,78.23,22.25,2.5
201408,Iowa,41.878,-93.097,22.05,31.21,12.32,4.44,81.45,17.32,2.05
201409,Iowa,41.878,-93.097,16.71,30.05,1.85,3.03,79.48,15.78,2.63
201410,Iowa,41.878,-93.097,10.17,23.32,-4.38,2.64,76.27,11.85,3.32
201411,Iowa,41.878,-93.097,-1.02,16.12,-14.16,0.59,76.08,7.63,4.19
201412,Iowa,41.878,-93.097,-2.62,11.49,-19.88,0.93,87.15,4.96,3.15
201413,Iowa,41.878,-93.097,7.75,31.21,-26.86,2.7,77.49,14.18,3.47
201501,Iowa,41.878,-93.097,-5.6,8.37,-25.11,0.87,85.94,7.36,3.83
201502,Iowa,41.878,-93.097,-9.5,4.87,-23.24,0.61,80.22,11.85,3.78
201503,Iowa,41.878,-93.097,3.01,25.92,-19.85,0.36,70.42,16.86,3.65
201504,Iowa,41.878,-93.097,10.7,24.65,-2.82,2.57,66.57,18.93,3.79
201505,Iowa,41.878,-93.097,16.27,26.95,1.61,3.3,74.7,18.12,3.53
201506,Iowa,41.878,-93.097,21.24,32.07,7.06,5.61,78.97,19.88,2.54
201507,Iowa,41.878,-93.097,22.67,32.79,11.83,4.92,78.3,21.55,2.23
201508,Iowa,41.878,-93.097,20.76,30.71,8.99,4.8,78.02,19.16,2.46
201509,Iowa,41.878,-93.097,19.95,31.02,5.09,3.24,77.26,17.78,2.74
201510,Iowa,41.878,-93.097,11.26,26.26,-0.35,1.48,70.45,12.32,3.1
201511,Iowa,41.878,-93.097,5.17,22.2,-9.14,2.79,79.03,7.75,3.88
201512,Iowa,41.878,-93.097,-0.26,12.82,-15.55,4.22,90.03,5.0,3.69
201513,Iowa,41.878,-93.097,9.75,32.79,-25.11,2.91,77.49,14.72,3.26
201601,Iowa,41.878,-93.097,-7.76,6.36,-28.16,0.6,92.94,7.22,3.51
201602,Iowa,41.878,-93.097,-2.11,16.49,-17.84,0.66,83.56,10.26,4.1
201603,Iowa,41.878,-93.097,5.4,20.58,-7.49,1.84,81.93,12.77,3.88
201604,Iowa,41.878,-93.097,9.82,25.55,-6.27,2.17,75.2,17.32,4.29
201605,Iowa,41.878,-93.097,15.51,27.63,0.94,2.49,73.27,20.87,2.78
201606,Iowa,41.878,-93.097,22.39,32.19,10.21,3.42,74.85,27.05,2.72
201607,Iowa,41.878,-93.097,23.34,31.89,12.41,3.71,80.13,21.52,2.37
201608,Iowa,41.878,-93.097,22.72,32.64,11.81,5.33,81.23,18.57,2.13
201609,Iowa,41.878,-93.097,19.59,32.81,6.61,4.82,79.31,16.63,3.11
201610,Iowa,41.878,-93.097,12.99,27.28,-0.38,1.05,79.24,11.27,3.08
201611,Iowa,41.878,-93.097,6.47,22.0,-5.74,1.22,79.54,8.5,3.33
201612,Iowa,41.878,-93.097,-5.1,7.92,-25.57,1.23,81.51,6.09,4.09
201613,Iowa,41.878,-93.097,10.29,32.81,-28.16,2.38,80.24,14.84,3.28
201701,Iowa,41.878,-93.097,-4.45,8.32,-18.27,1.54,83.99,5.17,3.66
201702,Iowa,41.878,-93.097,1.0,20.17,-14.04,0.9,77.46,10.85,3.86
201703,Iowa,41.878,-93.097,2.82,21.4,-12.07,2.04,74.96,11.73,4.39
201704,Iowa,41.878,-93.097,11.09,23.53,-0.68,3.37,75.47,15.37,3.79
201705,Iowa,41.878,-93.097,15.2,28.85,0.9,2.93,73.57,22.12,3.47
201706,Iowa,41.878,-93.097,22.07,32.79,9.35,2.46,69.42,26.71,3.0
201707,Iowa,41.878,-93.097,25.07,35.76,14.49,1.85,68.36,24.25,2.37
201708,Iowa,41.878,-93.097,21.54,31.62,10.91,2.63,64.48,19.24,2.33
201709,Iowa,41.878,-93.097,20.67,34.79,7.98,1.42,61.01,16.95,2.74
201710,Iowa,41.878,-93.097,11.55,28.68,-5.73,4.25,73.47,9.76,3.83
201711,Iowa,41.878,-93.097,2.48,17.8,-7.46,0.35,77.03,7.71,3.4
201712,Iowa,41.878,-93.097,-4.29,18.61,-24.99,0.3,75.53,6.39,3.85
201713,Iowa,41.878,-93.097,10.43,35.76,-24.99,2.01,72.88,14.7,3.39
201801,Iowa,41.878,-93.097,-6.99,11.81,-25.63,1.09,82.03,7.48,4.03
201802,Iowa,41.878,-93.097,-5.8,14.83,-20.42,1.39,81.67,9.98,3.71
201803,Iowa,41.878,-93.097,1.0,14.28,-8.54,1.95,75.09,12.98,4.05
201804,Iowa,41.878,-93.097,4.48,25.9,-10.96,1.03,69.18,17.61,3.91
201805,Iowa,41.878,-93.097,20.02,35.47,7.08,3.02,74.3,21.05,2.73
201806,Iowa,41.878,-93.097,23.55,33.13,12.43,6.71,76.0,21.46,2.73
201807,Iowa,41.878,-93.097,23.5,33.97,12.22,2.19,71.71,25.34,2.35
201808,Iowa,41.878,-93.097,23.16,34.95,11.46,4.72,73.34,18.73,2.45
201809,Iowa,41.878,-93.097,18.33,30.32,2.97,7.72,83.05,14.47,2.66
201810,Iowa,41.878,-93.097,8.66,28.17,-3.62,3.47,81.93,10.55,2.89
201811,Iowa,41.878,-93.097,-1.28,13.62,-12.71,1.68,84.8,6.78,3.22
201812,Iowa,41.878,-93.097,-2.92,7.45,-13.32,1.92,90.97,5.88,3.23
201813,Iowa,41.878,-93.097,8.9,35.47,-25.63,3.07,78.65,14.39,3.16
201901,Iowa,41.878,-93.097,-8.02,8.28,-33.81,1.01,88.38,7.0,4.04
201902,Iowa,41.878,-93.097,-8.48,8.65,-22.83,2.04,91.65,9.96,4.05
201903,Iowa,41.878,-93.097,-0.78,18.46,-24.3,1.17,85.98,15.27,3.71
201904,Iowa,41.878,-93.097,9.29,26.0,-2.59,2.24,79.42,17.02,4.08
201905,Iowa,41.878,-93.097,14.06,27.87,1.62,6.22,81.92,17.95,3.18
201906,Iowa,41.878,-93.097,20.65,31.17,7.93,3.41,82.24,21.54,2.43
201907,Iowa,41.878,-93.097,23.86,31.78,13.2,1.7,82.37,23.1,2.5
201908,Iowa,41.878,-93.097,21.07,28.91,11.35,2.97,79.74,19.67,2.16
201909,Iowa,41.878,-93.097,20.73,30.18,8.35,4.22,84.07,14.49,2.94
201910,Iowa,41.878,-93.097,7.74,24.47,-4.89,4.47,78.68,11.14,3.37
201911,Iowa,41.878,-93.097,-0.2,11.98,-15.73,1.23,84.58,7.81,3.3
201912,Iowa,41.878,-93.097,-1.63,12.32,-13.31,0.89,87.5,6.02,3.47
201913,Iowa,41.878,-93.097,8.28,31.78,-33.81,2.63,83.83,14.27,3.26
202001,Iowa,41.878,-93.097,-5.33,11.71,-21.14,1.15,90.11,6.14,3.7
202002,Iowa,41.878,-93.097,-3.47,13.76,-20.64,0.32,80.68,12.13,3.78
202003,Iowa,41.878,-93.097,4.27,21.19,-7.32,2.36,80.9,13.03,3.8
202004,Iowa,41.878,-93.097,7.98,24.63,-6.99,1.62,74.14,18.6,3.83
202005,Iowa,41.878,-93.097,14.54,27.06,-0.65,3.61,77.05,17.05,3.13
202006,Iowa,41.878,-93.097,22.27,31.06,10.63,5.19,78.26,24.24,3.1
202007,Iowa,41.878,-93.097,24.35,32.8,13.8,1.44,78.39,23.17,2.26
202008,Iowa,41.878,-93.097,23.21,36.81,11.86,1.21,65.26,22.08,2.62
202009,Iowa,41.878,-93.097,16.85,33.44,5.83,3.55,70.47,14.77,3.14
202010,Iowa,41.878,-93.097,7.96,28.44,-5.54,1.71,66.8,11.31,3.37
202011,Iowa,41.878,-93.097,4.75,22.63,-7.15,1.54,76.85,8.44,3.67
202012,Iowa,41.878,-93.097,-3.02,10.74,-16.21,0.91,82.62,6.62,3.27
202013,Iowa,41.878,-93.097,9.56,36.81,-21.14,2.05,76.79,14.79,3.3
202101,Iowa,41.878,-93.097,-4.32,6.19,-13.88,0.86,87.65,7.1,3.49
202102,Iowa,41.878,-93.097,-10.05,12.75,-28.64,0.56,84.58,12.31,3.32
202103,Iowa,41.878,-93.097,5.35,22.06,-5.55,1.8,73.83,13.87,4.11
202104,Iowa,41.878,-93.097,10.1,28.63,-6.22,0.58,68.01,19.24,3.78
202105,Iowa,41.878,-93.097,15.42,29.54,1.59,2.77,71.41,19.03,3.41
202106,Iowa,41.878,-93.097,24.28,39.99,9.41,1.94,63.35,24.44,2.67
202107,Iowa,41.878,-93.097,24.9,35.98,14.14,2.56,64.74,21.93,2.35
202108,Iowa,41.878,-93.097,24.55,36.08,13.06,3.34,66.32,20.95,2.5
202109,Iowa,41.878,-93.097,20.35,33.55,5.74,1.01,65.11,17.26,2.75
202110,Iowa,41.878,-93.097,13.15,27.84,-0.72,4.08,72.09,10.55,3.25
202111,Iowa,41.878,-93.097,3.42,19.15,-7.61,1.03,74.54,8.67,3.75
202112,Iowa,41.878,-93.097,-0.12,20.6,-14.89,0.69,77.93,6.57,4.0
202113,Iowa,41.878,-93.097,10.71,39.99,-28.64,1.79,72.42,15.16,3.28
202201,Iowa,41.878,-93.097,-9.18,6.77,-22.94,0.49,81.87,8.37,4.36
202202,Iowa,41.878,-93.097,-5.52,13.25,-18.75,0.22,73.22,11.71,4.54
202203,Iowa,41.878,-93.097,2.35,21.79,-15.38,2.52,72.57,14.42,4.23
202204,Iowa,41.878,-93.097,6.99,23.99,-5.06,2.65,70.01,15.57,4.75
202205,Iowa,41.878,-93.097,16.64,31.23,2.4,2.38,73.97,18.27,3.66
202206,Iowa,41.878,-93.097,22.37,33.83,8.67,3.09,69.75,25.12,2.84
202207,Iowa,41.878,-93.097,25.05,38.6,14.47,2.63,65.96,23.4,2.47
202208,Iowa,41.878,-93.097,24.35,39.01,14.39,2.51,63.12,20.93,2.34
202209,Iowa,41.878,-93.097,19.3,35.79,2.08,1.53,61.77,16.75,2.65
202210,Iowa,41.878,-93.097,10.62,27.2,-5.65,0.82,58.89,13.27,2.96
202211,Iowa,41.878,-93.097,2.43,23.71,-11.48,1.99,73.22,7.6,3.89
202212,Iowa,41.878,-93.097,-5.55,8.54,-24.08,1.33,82.46,5.78,4.28
202213,Iowa,41.878,-93.097,9.24,39.01,-24.08,1.85,70.57,15.12,3.57
202301,Iowa,41.878,-93.097,-5.02,12.17,-22.41,1.83,89.57,6.2,3.53
202302,Iowa,41.878,-93.097,-2.41,10.09,-25.06,1.84,79.7,10.56,4.08
202303,Iowa,41.878,-93.097,1.6,23.71,-12.11,1.13,74.54,12.97,4.08
202304,Iowa,41.878,-93.097,9.59,26.64,-5.3,1.53,66.82,19.39,4.39
202305,Iowa,41.878,-93.097,17.64,30.82,1.31,2.19,67.62,23.22,3.07
202306,Iowa,41.878,-93.097,22.85,33.14,8.12,2.55,62.81,23.08,2.21
202307,Iowa,41.878,-93.097,24.08,38.21,12.32,1.9,61.09,22.56,2.06
202308,Iowa,41.878,-93.097,24.58,40.29,12.48,1.94,62.85,20.28,2.55
202309,Iowa,41.878,-93.097,21.08,37.49,9.73,1.29,61.22,16.47,2.55
202310,Iowa,41.878,-93.097,12.27,33.71,-5.38,2.35,66.5,11.28,3.32
202311,Iowa,41.878,-93.097,4.3,19.99,-9.43,0.24,66.49,8.84,3.15
202312,Iowa,41.878,-93.097,1.12,14.28,-6.5,1.06,80.13,5.12,3.13
202313,Iowa,41.878,-93.097,11.05,40.29,-25.06,1.66,69.93,15.01,3.17
